Ontology ID,LABEL,SUBCLASS OF,DEFINITION,OLD DEFINITION,Comment,DEF SOURCE,Part Of,Axiom,Example of use,Exact Synonym@en,Broad Synonym@en,Narrow Synonym@en,EDITOR,created,ISSUES / COMMENTS,
ENVO:03501235,leisure centre,public building,A building or site where people go to keep fit or relax through using the facilities.,,,https://en.wikipedia.org/wiki/Leisure_centre,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,"Comment: Usually owned and operated by the city, borough council or municipal district council. Facilities may include a swimming pool (many with water slide), large sports hall, squash courts, cafeteria, licensed bar, fitness suite, aerobics studios, outdoor grass and/or artificial pitches for football (soccer), hockey etc., a solarium, sauna and/or steam room.(https://en.wikipedia.org/wiki/Leisure_centre)",
ENVO:03501236,business park,terrestrial environmental zone,An area of land on which office buildings are grouped.,,,https://en.wikipedia.org/wiki/Business_park,,,,office park,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,,
ENVO:03501237,game reserve,terrestrial environmental zone,An area of land where wild animals live safely or are hunted in a controlled way for sport.,,,https://en.wikipedia.org/wiki/Game_reserve,,,,wildlife preserve|game park,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,,
ENVO:03501238,hillock,hill,"A small hill, usually separated from a larger group of hills such as a range.",,Hillocks are similar in their distribution and size to small mesas or buttes.,https://en.wikipedia.org/wiki/Hillock,,,,knoll,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,Comment: Hillocks are similar in their distribution and size to small mesas or buttes. (https://en.wikipedia.org/wiki/Hillock),
ENVO:03501239,riverfront,shore,A shoreline region along a river.,,,https://en.wikipedia.org/wiki/Riverfront,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,,
ENVO:03501240,skerry,island,"A small rocky island, or islet, usually too small for human habitation.",,,https://en.wikipedia.org/wiki/Skerry,,,,islet,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,Comment: Usually too small for human habitation. (https://en.wikipedia.org/wiki/Skerry),
ENVO:03501241,wind farm,power plant,A group of wind turbines in the same location used to produce electricity.,,,https://en.wikipedia.org/wiki/Wind_farm,,,,wind park|wind power station|wind power plant,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,,
ENVO:03501242,desert island,island,"An island, islet or atoll that is not permanently populated by humans.",,,https://en.wikipedia.org/wiki/Desert_island,,,,uninhabited island,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,,
ENVO:03501243,big-box store,shop,A physically large retail establishment.,,,https://en.wikipedia.org/wiki/Big-box_store,,,,supercenter|superstore|megastore,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,Comment: Usually part of a chain of stores. (https://en.wikipedia.org/wiki/Big-box_store),
ENVO:03501244,Bailey bridge,bridge,"A type of portable, pre-fabricated, truss bridge.",,,https://en.wikipedia.org/wiki/Bailey_bridge,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,,
ENVO:03501245,drawbridge,bridge,A hinged bridge which can be raised.,,,https://en.wiktionary.org/wiki/drawbridge,,,"A drawbridge is often at the entrance to a castle or tower surrounded by a moat, and is also found on rail lines that cross shipping water lanes.",draw-bridge,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,Comment: Typically at the entrance to a castle or tower surrounded by a moat. (https://en.wikipedia.org/wiki/Drawbridge),
ENVO:03501246,footbridge,bridge,A bridge designed solely for pedestrians.,,,https://en.wikipedia.org/wiki/Footbridge,,,,pedestrian bridge|pedestrian overpass|pedestrian overcrossing,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,,
ENVO:03501247,humpback bridge,bridge,"An arch bridge, where the span is higher than the ramps on either side, forming a hump-like arrangement.",,,https://en.wikipedia.org/wiki/Humpback_bridge,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,,
ENVO:03501248,overpass,bridge,"A bridge, road, railway or similar structure that crosses over another road or railway.",,,https://en.wikipedia.org/wiki/Overpass,,,,overbridge|flyover,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,,
ENVO:03501249,suspension bridge,bridge,A bridge in which the deck is hung on vertical suspenders via suspension cables.,,,https://en.wikipedia.org/wiki/Suspension_bridge,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,,
ENVO:03501250,swing bridge,bridge,"A movable bridge that has as a vertical locating pin, as its primary structural support, and a support ring about which the turning can can pivot horizontally.",,,https://en.wikipedia.org/wiki/Swing_bridge,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,Comment: The vertical locating pin and support ring are usually located at or near to its center of gravity. (https://en.wikipedia.org/wiki/Swing_bridge),
ENVO:03501251,vacuum cleaner,manufactured product,A device that causes suction in order to remove debris from surfaces.,,,https://en.wikipedia.org/wiki/Vacuum_cleaner,,,,hoover,vacuum,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,"Comment: Removes debris from floors, upholstery, draperies and other surfaces.	(https://en.wikipedia.org/wiki/Vacuum_cleaner)",
ENVO:03501252,chicken manure,poultry manure,An animal manure made of chicken feces.,,,https://en.wikipedia.org/wiki/Chicken_manure,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,"Comment: Used as an organic fertilizer, especially for soil low in nitrogen. (https://en.wikipedia.org/wiki/Chicken_manure)",
ENVO:03501253,gypsum,anthropogenic environmental material,A soft sulfate mineral composed of calcium sulfate dihydrate.,,,https://en.wikipedia.org/wiki/Gypsum,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,Comment: Chemical formula CaSO4·2H2O. (https://en.wikipedia.org/wiki/Gypsum),
ENVO:03501254,water tank,manufactured product,A container for storing water.,,,https://en.wikipedia.org/wiki/Water_tank,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,,
ENVO:03501255,water trough,anthropogenic geographic feature,A receptacle intended to provide drinking water to animals.,,,https://en.wikipedia.org/wiki/Watering_trough,,,,artificial watering point,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,"Comment: Human-made or natural receptacle. Generally intended to provide drinking water to animals, livestock on farms, livesotck on ranches, or wild animals. (https://en.wikipedia.org/wiki/Watering_trough)",
ENVO:03501256,wet wipe,manufactured product,A small moistened piece of plastic or cloth.,,,https://en.wikipedia.org/wiki/Wet_wipe,,,A wet wipe often comes folded and individually wrapped for convenience.,wet towel|moist towelette,baby wipe,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,Comment: Often comes folded and individually wrapped for convenience. (https://en.wikipedia.org/wiki/Wet_wipe),
ENVO:03501257,barn,building,An agricultural building.,A barn is an agricultural building usually on farms and used for various purposes.,,https://en.wikipedia.org/wiki/Barn,,,,barn,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,"Comment: Usually on farms and used for various purposes. In the North American area, a barn refers to structures that house livestock, including cattle and horses, as well as equipment and fodder, and often grain. In the British Isles, the term barn is restricted mainly to storage structures for unthreshed cereals and fodder. (https://en.wikipedia.org/wiki/Barn)",
ENVO:03501258,chicken house,animal house,A small house where fowl are kept.,,,https://en.wikipedia.org/wiki/Chicken_coop,,,,chicken coop|hen house,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,Comment: Typically where female chickens or other fowl are kept safe and secure. (https://en.wikipedia.org/wiki/Chicken_coop),
ENVO:03501259,litter,environmental material,Waste products that have been discarded at an unsuitable location.,,,https://en.wikipedia.org/wiki/Litter,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,"animal litter could actually go under it once introduced. 

Comment: Discarded incorrectly, without consent. (https://en.wikipedia.org/wiki/Litter)",
ENVO:03501260,sewing table,manufactured product,A table or desk used for sewing.,,,https://en.wikipedia.org/wiki/Sewing_table,,,,sewing desk,work table,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,"Litter consists of waste products that have been discarded incorrectly, without consent, at an unsuitable location.",
ENVO:03501261,wheel,manufactured product,A disk-shaped material that rotates around an axle bearing placed through a hole in its center.,,,https://en.wikipedia.org/wiki/Wheel,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,,
ENVO:03501262,tray,manufactured product,A shallow platform designed for the carrying of items.,,,https://en.wikipedia.org/wiki/Tray,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,,
ENVO:03501263,tool,manufactured product,An object used to extend the ability of an individual to modify features of the surrounding environment.,,,https://en.wikipedia.org/wiki/Tool,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,,
ENVO:03501264,squeegee,manufactured product,"A tool with a flat, smooth rubber blade, used to remove or control the flow of liquid on a flat surface.",,,https://en.wikipedia.org/wiki/Squeegee,,,A squeegee is used for cleaning and in printing.,squilgee,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,Comment: It is used for cleaning and in printing. (https://en.wikipedia.org/wiki/Squeegee),
ENVO:03501265,public toilet,indoor toilet,A room or small building with toilets (or urinals) and sinks that does not belong to a particular household.,,,https://en.wikipedia.org/wiki/Public_toilet,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,,
ENVO:03501266,pump,manufactured product,"A pump is a device that moves fluids (liquids or gases), or sometimes slurries, by mechanical action.",,,https://en.wikipedia.org/wiki/Pump,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,,
ENVO:03501267,peeler,manufactured product,"A kitchen tool, used to remove the outer layer of vegetables and fruit, consisting of a handle attached to a metal blade with a slot with a sharp edge.",,,https://en.wikipedia.org/wiki/Peeler,,,"A peeler can be used to remove the outer layer (the ""skin"" or ""peel"") of some vegetables such as potatoes, broccoli stalks, and carrots, and fruits such as apples and pears.",vegetable scraper,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,"Comment: Used to remove the outer layer (the ""skin"" or ""peel"") of some vegetables such as potatoes, broccoli stalks, and carrots, and fruits such as apples and pears. (https://en.wikipedia.org/wiki/Peeler)",
ENVO:03501268,pallet,manufactured product,A flat transport structure which supports goods in a stable fashion while being lifted and/or moved.,,,https://en.wikipedia.org/wiki/Pallet,,,"A pallet can be moved using a forklift, a pallet jack, a front loader, a jacking device, or an erect crane.",skid,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,"Comment: Designed to be lifted by a forklift, a pallet jack, a front loader, a jacking device, or an erect crane. (https://en.wikipedia.org/wiki/Pallet)",
ENVO:03501269,packing machine,manufactured product,Machinery used throughout all packaging operations.,,,https://en.wikipedia.org/wiki/Packaging_machinery,,,,,,,https://orcid.org/0000-0002-3467-1406 (Harjap Gosal),,"Comment: Involving primary packages to distribution packs. Includes many packaging processes: fabrication, cleaning, filling, sealing, combining, labeling, overwrapping, palletizing. (https://en.wikipedia.org/wiki/Packaging_machinery)",
,,,,,,,,,,,,,,,,
